iter	RMSE
0	0.5477066485
1	0.5272182199
2	0.508201321
3	0.4912889511
4	0.4750285427
5	0.4605127802
6	0.4475175262
7	0.4353579827
8	0.4240330923
9	0.414668362
10	0.4052255847
11	0.3969183056
12	0.3896858698
13	0.3833644309
14	0.3761449171
15	0.37071533
16	0.3645220716
17	0.3598348502
18	0.3544757003
19	0.3504636242
20	0.3468023957
21	0.3434003307
22	0.3395912347
23	0.3367356964
24	0.3337247355
25	0.3309168329
26	0.3286634559
27	0.3262842124
28	0.3227118014
29	0.32054302
30	0.3183245625
31	0.315838591
32	0.3137789732
33	0.3122432409
34	0.3105405287
35	0.3090267424
36	0.3076718661
37	0.306284188
38	0.3040185071
39	0.3025463257
40	0.3014424259
41	0.3005502925
42	0.2987502488
43	0.2973606333
44	0.2958180886
45	0.2946807534
46	0.2934844935
47	0.2921447654
48	0.2907701303
49	0.2899680543
50	0.2890024793
51	0.2876749604
52	0.2870641991
53	0.2861446391
54	0.2855363622
55	0.2844982826
56	0.2836777029
57	0.2829883874
58	0.2815835457
59	0.2809207955
60	0.2802144542
61	0.2796811282
62	0.2790909288
63	0.278052598
64	0.2772494817
65	0.2765660579
66	0.2759556798
67	0.2753923417
68	0.2743846538
69	0.2737775145
70	0.2733751195
71	0.2725614753
72	0.2719403728
73	0.2715658574
74	0.2710058368
75	0.2703977125
76	0.2699399567
77	0.2695915901
78	0.2688354154
79	0.2682821637
80	0.2674770591
81	0.2666408378
82	0.2661250311
83	0.2656494231
84	0.2653208481
85	0.2645594729
86	0.2641793819
87	0.2637566651
88	0.2632665569
89	0.2628353739
90	0.2625211648
91	0.2621028807
92	0.2616091235
93	0.2612026552
94	0.2606359651
95	0.2602561044
96	0.2598015159
97	0.2594920226
98	0.2590747121
99	0.2586913878
100	0.2583609388
101	0.2579347176
102	0.2575324283
103	0.2573279907
104	0.256955562
105	0.256706616
106	0.2561890164
107	0.2559347123
108	0.2555336686
109	0.2553012998
110	0.2550660583
111	0.2546944312
112	0.2543011834
113	0.2538730804
114	0.2535281709
115	0.253194767
116	0.252901667
117	0.2526033624
118	0.2523031008
119	0.2520204129
120	0.2517101512
121	0.2514120809
122	0.251176307
123	0.2509503813
124	0.2506108361
125	0.2503820996
126	0.2501654111
127	0.2499374058
128	0.2497763784
129	0.2493698812
130	0.249097469
131	0.2488903744
132	0.2486456851
133	0.2484244588
134	0.2481695533
135	0.2480291591
136	0.2477831172
137	0.2474544906
138	0.2471985915
139	0.246991399
140	0.2466944855
141	0.2465214437
142	0.246103712
143	0.2458356709
144	0.2455918499
145	0.2453968451
146	0.2451404704
147	0.2450057796
148	0.2446156157
149	0.2444395306
150	0.2441787392
151	0.2439648067
152	0.2438137029
153	0.2435269961
154	0.2433520407
155	0.2431093316
156	0.24285147
157	0.2426237161
158	0.2424200892
159	0.2422039439
160	0.2418836477
161	0.241701688
162	0.2412223086
163	0.2409924496
164	0.240784081
165	0.2405727174
166	0.2403943616
167	0.2402789518
168	0.2399794357
169	0.2396111732
170	0.2393224276
171	0.2391725261
172	0.2390282441
173	0.2387498446
174	0.2385310791
175	0.2383379353
176	0.2381654934
177	0.2377773061
178	0.2374631212
179	0.2372239338
180	0.2370299448
181	0.2366770925
182	0.2364620223
183	0.2360791116
184	0.2358752816
185	0.2356581381
186	0.2354235529
187	0.2351742179
188	0.2349670959
189	0.2347569546
190	0.2346429418
191	0.2343639005
192	0.2341667428
193	0.2339887751
194	0.2338416469
195	0.2336480557
196	0.2335062468
197	0.2333087043
198	0.2331171916
199	0.2328171808
200	0.2325941302
201	0.2324101591
202	0.2321753572
203	0.2319587571
204	0.2318452709
205	0.2316178417
206	0.2314632924
207	0.2313203221
208	0.2311478909
209	0.2309425512
210	0.2307935097
211	0.2306201197
212	0.2304642139
213	0.2302658642
214	0.2300327563
215	0.2298193601
216	0.2296945784
217	0.2294474265
218	0.2293065475
219	0.2290971271
220	0.2289410923
221	0.2287585088
222	0.2285173003
223	0.2283510778
224	0.228114316
225	0.2279421317
226	0.2278049074
227	0.2276234558
228	0.2274811131
229	0.2273196746
230	0.2272003656
231	0.2269884644
232	0.2268538465
233	0.2266815418
234	0.2265374012
235	0.2263272357
236	0.2261244014
237	0.2259526687
238	0.2257694665
239	0.2255804212
240	0.2254535508
241	0.225287771
242	0.2251454395
243	0.2250290124
244	0.2248482217
245	0.2245931573
246	0.2243672255
247	0.2241271636
248	0.2239850695
249	0.2238308252
250	0.2236197586
251	0.2235071031
252	0.2233214481
253	0.2231182292
254	0.2229759698
255	0.2228029446
256	0.2226524029
257	0.2225057654
258	0.2223494197
259	0.222257217
260	0.2221132172
261	0.2219319001
262	0.22179639
263	0.221591854
264	0.2214264717
265	0.2212789038
266	0.2210567033
267	0.2208799885
268	0.220751266
269	0.2206019036
270	0.2204644518
271	0.2203172125
272	0.2201925217
273	0.2200719123
274	0.2199388669
275	0.2198307203
276	0.2196494355
277	0.2194870666
278	0.2192867388
279	0.2190891956
280	0.2188462894
281	0.2187473529
282	0.2185922618
283	0.2184266591
284	0.2182974912
285	0.2181760076
286	0.2180409563
287	0.2179520091
288	0.2178408068
289	0.2176485672
290	0.2175006614
291	0.2173446295
292	0.2172373292
293	0.2170945307
294	0.2169722827
295	0.2168357574
296	0.2167564268
297	0.216650108
298	0.2165604408
299	0.2163864321
300	0.2162802583
301	0.2161442277
302	0.2159647412
303	0.2157823389
304	0.215625188
305	0.2155317436
306	0.2154095261
307	0.2152594308
308	0.2151452998
309	0.2150526862
310	0.2149307749
311	0.2147733348
312	0.2146828812
313	0.214573009
314	0.2144405226
315	0.214249659
316	0.2141465375
317	0.2140585871
318	0.2139445014
319	0.2138553046
320	0.2137185445
321	0.2135378327
322	0.2133831107
323	0.2132182956
324	0.2130979989
325	0.2129574961
326	0.2128231437
327	0.2127299873
328	0.2126287445
329	0.212542451
330	0.2124255648
331	0.2123012224
332	0.2122041045
333	0.212117774
334	0.2120246597
335	0.2119366396
336	0.2118474454
337	0.2117713447
338	0.2116683702
339	0.2115597702
340	0.2114067029
341	0.2112790715
342	0.2111586503
343	0.2110355833
344	0.2109368864
345	0.2108203389
346	0.210731295
347	0.2106528191
348	0.2105328719
349	0.2103911867
350	0.2102870035
351	0.2102097507
352	0.2100435865
353	0.2099153074
354	0.2097816043
355	0.2096989846
356	0.2096116946
357	0.2095279372
358	0.2094449611
359	0.2093497548
360	0.2092742346
361	0.2091810658
362	0.2090748666
363	0.208991663
364	0.2089075871
365	0.2087454093
366	0.208617849
367	0.2084639092
368	0.2083363236
369	0.2081773887
370	0.2080604228
371	0.2079904477
372	0.2078668126
373	0.2077616017
374	0.2076733511
375	0.2075462571
376	0.2074845636
377	0.2073802264
378	0.207283748
379	0.2071614008
380	0.2070700677
381	0.2069126784
382	0.2067997966
383	0.2067052139
384	0.2066041153
385	0.2064992336
386	0.2063793977
387	0.206253939
388	0.2061778325
389	0.2060978765
390	0.2060110063
391	0.2058386141
392	0.2057144328
393	0.2056144378
394	0.205526234
395	0.20539721
396	0.2053097414
397	0.2052446011
398	0.205170944
399	0.2050340032
400	0.2049709558
401	0.204903687
402	0.2047853181
403	0.2047043623
404	0.2046000397
405	0.2044828508
406	0.2043948944
407	0.2043019312
408	0.2042035242
409	0.204139907
410	0.2040580168
411	0.2039480009
412	0.2038354195
413	0.203704359
414	0.2036041159
415	0.2035019627
416	0.2033639463
417	0.2032857521
418	0.2031548865
419	0.2030608761
420	0.2029812486
421	0.2029071365
422	0.2028541405
423	0.2027695474
424	0.2026748732
425	0.2025915865
426	0.2024383153
427	0.2023473649
428	0.2022432236
429	0.2021704132
430	0.2020841958
431	0.2019740799
432	0.2018633981
433	0.2017378436
434	0.2016546778
435	0.2015579566
436	0.2014796819
437	0.2013911213
438	0.2013079461
439	0.2012446249
440	0.2011812376
441	0.2010869281
442	0.2009929015
443	0.2009245176
444	0.2007927781
445	0.2006630605
446	0.2005665003
447	0.200498785
448	0.2004319389
449	0.2003088343
450	0.2002251479
451	0.2001566195
452	0.2000934327
453	0.2000081423
454	0.1999357344
455	0.1998618834
456	0.1997722001
