iter	Passed	Remaining
0	2	2964
1	5	2776
2	8	2733
3	11	2743
4	14	2801
5	18	3032
6	24	3539
7	48	6005
8	50	5606
9	53	5259
10	56	5123
11	61	5027
12	64	4872
13	66	4676
14	68	4501
15	70	4333
16	72	4178
17	74	4037
18	75	3913
19	77	3817
20	80	3732
21	81	3639
22	83	3555
23	85	3481
24	87	3408
25	89	3342
26	90	3278
27	92	3219
28	95	3181
29	97	3150
30	99	3110
31	101	3064
32	103	3019
33	104	2978
34	106	2938
35	108	2901
36	110	2885
37	113	2866
38	115	2839
39	117	2809
40	118	2780
41	120	2753
42	122	2727
43	124	2708
44	127	2698
45	128	2674
46	130	2651
47	132	2630
48	134	2608
49	136	2586
50	137	2567
51	139	2548
52	141	2535
53	143	2519
54	145	2501
55	147	2484
56	149	2467
57	151	2452
58	152	2438
59	154	2425
60	156	2412
61	159	2406
62	160	2393
63	162	2378
64	164	2365
65	166	2351
66	168	2339
67	169	2329
68	171	2317
69	173	2306
70	175	2299
71	177	2288
72	179	2276
73	181	2265
74	182	2254
75	184	2245
76	186	2236
77	188	2226
78	190	2223
79	193	2220
80	194	2212
81	196	2203
82	198	2195
83	201	2193
84	203	2186
85	204	2178
86	207	2175
87	209	2174
88	212	2175
89	215	2175
90	216	2167
91	218	2159
92	220	2151
93	223	2151
94	225	2149
95	227	2141
96	229	2134
97	231	2130
98	233	2123
99	235	2116
100	236	2109
101	239	2108
102	241	2102
103	243	2096
104	245	2089
105	246	2082
106	248	2075
107	250	2069
108	252	2062
109	254	2060
110	256	2053
111	258	2047
112	260	2041
113	262	2037
114	264	2032
115	265	2025
116	267	2020
117	269	2016
118	272	2014
119	274	2010
120	276	2005
121	277	1999
122	279	1993
123	281	1988
124	283	1982
125	284	1976
126	287	1975
127	289	1970
128	291	1965
129	292	1960
130	294	1954
131	296	1949
132	298	1944
133	300	1938
134	301	1934
135	303	1931
136	305	1926
137	307	1922
138	309	1917
139	311	1913
140	313	1908
141	314	1903
142	316	1898
143	319	1896
144	320	1892
145	322	1887
146	324	1885
147	326	1880
148	328	1876
149	330	1871
150	331	1866
151	333	1861
152	336	1860
153	338	1857
154	339	1853
155	341	1848
156	343	1844
157	345	1840
158	347	1835
159	348	1831
160	351	1830
161	353	1826
162	355	1823
163	356	1818
164	358	1814
165	360	1809
166	361	1805
167	363	1800
168	365	1796
169	367	1796
170	369	1792
171	371	1788
172	373	1784
173	375	1780
174	377	1777
175	379	1774
176	380	1770
177	383	1768
178	385	1767
179	387	1763
180	388	1759
181	390	1756
182	392	1751
183	394	1748
184	396	1744
185	398	1743
186	400	1741
187	402	1738
188	404	1734
189	405	1730
190	407	1726
191	409	1723
192	411	1720
193	413	1718
194	416	1718
195	418	1716
196	420	1712
197	421	1708
198	423	1705
199	425	1701
200	427	1698
201	428	1694
202	431	1694
203	433	1693
204	435	1689
205	437	1686
206	439	1682
207	440	1679
208	442	1675
209	444	1672
210	446	1670
211	448	1667
212	450	1664
213	452	1661
214	454	1658
215	456	1655
216	457	1651
217	459	1649
218	461	1646
219	463	1644
220	465	1641
221	467	1638
222	469	1634
223	470	1631
224	472	1628
225	474	1625
226	476	1622
227	478	1620
228	480	1617
229	482	1614
230	484	1611
231	485	1608
232	487	1605
233	489	1603
234	491	1601
235	493	1598
236	496	1598
237	498	1596
238	500	1593
239	502	1590
240	504	1587
241	506	1585
242	508	1582
243	509	1579
244	512	1578
245	514	1577
246	516	1574
247	518	1571
248	520	1568
249	521	1565
250	523	1563
251	525	1560
252	528	1559
253	530	1557
